Densidad de estados ,Tiempo de ejecución, 133908.23 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  10.0, 1.0, 0.0, 2.663461e6, 0.0, 40.0, 0.8 
  E_i, E_f, S, DOS 
  -2.0, -1.89, 0.0, 1.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.89, -1.78, 5.673583984375, 2.910758799999999999999999999999999999999999999999999999999999999999999999999993e+02 
-1.78, -1.67, 11.404678344726562, 8.974058019000000000000000000000000000000000000000000000000000000000000000000009e+04 
-1.67, -1.56, 14.977813720703125, 3.197288678670000000000000000000000000000000000000000000000000000000000000000005e+06 
-1.56, -1.45, 20.233428955078125, 6.127263328079499999999999999999999999999999999999999999999999999999999999999975e+08 
-1.45, -1.34, 25.400314331054688, 1.074524575191757500000000000000000000000000000000000000000000000000000000000005e+11 
-1.34, -1.23, 30.3626708984375, 1.535820382659456413000000000000000000000000000000000000000000000000000000000002e+13 
-1.23, -1.12, 33.84526062011719, 4.998157368444782575799999999999999999999999999999999999999999999999999999999998e+14 
-1.12, -1.01, 38.14353942871094, 3.677296887401920831208999999999999999999999999999999999999999999999999999999973e+16 
-1.01, -0.9, 42.5892333984375, 3.135227453942297433877409999999999999999999999999999999999999999999999999999987e+18 
-0.9, -0.79, 46.81016540527344, 2.134993378760250430019451799999999999999999999999999999999999999999999999999995e+20 
-0.79, -0.68, 49.747650146484375, 4.028375502639157878198839440000000000000000000000000000000000000000000000000002e+21 
-0.68, -0.57, 52.69648742675781, 7.687651812374537998461930574000000000000000000000000000000000000000000000000046e+22 
-0.57, -0.46, 55.509307861328125, 1.280519211246907509380052568899999999999999999999999999999999999999999999999991e+24 
-0.46, -0.35, 57.89515686035156, 1.391704890521371434320571909004999999999999999999999999999999999999999999999998e+25 
-0.35, -0.24, 59.506866455078125, 6.974349977864569299962288201616000000000000000000000000000000000000000000000002e+25 
-0.24, -0.13, 60.85368347167969, 2.68175398867459271589262689230410000000000000000000000000000000000000000000001e+26 
-0.13, -0.02, 61.85968017578125, 7.333609022318267152328386561674600000000000000000000000000000000000000000000032e+26 
-0.02, 0.09, 62.73768615722656, 1.76453755293703652698020353448932000000000000000000000000000000000000000000001e+27 
0.09, 0.2, 62.55360412597656, 1.46786155202823428735488012657200999999999999999999999999999999999999999999999e+27 
0.2, 0.31, 62.49072265625, 1.378402397286671491474338503106369999999999999999999999999999999999999999999991e+27 
0.31, 0.42, 62.058197021484375, 8.944015090566044574238338391075299999999999999999999999999999999999999999999958e+26 
0.42, 0.53, 61.343170166015625, 4.375224129819612778421934271075700000000000000000000000000000000000000000000009e+26 
0.53, 0.64, 60.32817077636719, 1.585592823477132748483818463636800000000000000000000000000000000000000000000000e+26 
0.64, 0.75, 58.94871520996094, 3.991183825874794916953533073831999999999999999999999999999999999999999999999981e+25 
0.75, 0.86, 57.494110107421875, 9.319116942639924418221522753569999999999999999999999999999999999999999999999998e+24 
0.86, 0.97, 55.61260986328125, 1.419873284585735448512682376519999999999999999999999999999999999999999999999998e+24 
0.97, 1.08, 53.44035339355469, 1.617523465725888408002115715500000000000000000000000000000000000000000000000002e+23 
1.08, 1.19, 51.03216552734375, 1.455418490310641366878248343000000000000000000000000000000000000000000000000004e+22 
1.19, 1.3, 48.69293212890625, 1.403045422735360886767641589999999999999999999999999999999999999999999999999996e+21 
1.3, 1.41, 45.931396484375, 8.866496342904083221123436999999999999999999999999999999999999999999999999999945e+19 
1.41, 1.52, 42.971832275390625, 4.596525083978527201474190000000000000000000000000000000000000000000000000000015e+18 
1.52, 1.63, 40.16241455078125, 2.768949398908064240154500000000000000000000000000000000000000000000000000000011e+17 
1.63, 1.74, 36.93035888671875, 1.093077813023948904300000000000000000000000000000000000000000000000000000000005e+16 
1.74, 1.85, 33.664825439453125, 4.172995559626025029900000000000000000000000000000000000000000000000000000000018e+14 
1.85, 1.96, 30.136688232421875, 1.225172957099385084000000000000000000000000000000000000000000000000000000000001e+13 
1.96, 2.07, 26.750289916992188, 4.144797337129511799999999999999999999999999999999999999999999999999999999999982e+11 
2.07, 2.18, 23.211944580078125, 1.204535059969891000000000000000000000000000000000000000000000000000000000000002e+10 
2.18, 2.29, 19.016433715820312, 1.814396620350499999999999999999999999999999999999999999999999999999999999999992e+08 
2.29, 2.4, 15.298110961914062, 4.404383979869999999999999999999999999999999999999999999999999999999999999999975e+06 
