Modelo de ising,Fecha, 01-05-2018 14:12:58 
 ,Tiempo de ejecución, 133908.23 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  10.0, 1.0, 0.0, 2.663461e6, 0.0, 40.0 
 
T,M,E,CV 
0.1, 1.326359778334331546937457924073555659560952338747469687194459953243997656823509e-06,-1.944999999999999715782905695959925651550292968695923833964915550107230732075325, -3.495870259939693043070258947509214815804933255771460316511975809441990069905019e-12 
0.2, 1.326359778334331546939882847230986127247353447919473434386369008403099250197447e-06,-1.944999999999999715782864085511365446907372606175060556417574083392427432037242, -8.739675535420499067109891213412448599625629750588280313923529223169605287636989e-13 
0.3, 1.326359778334553756877662467504088755039603981671402470448495118726176468776478e-06,-1.944999999999995902773302437240384766943192863304391703482128959604461997924432, 7.760447818279674941751968204899233791445182902108965949495460263319645024678608e-14 
0.4, 1.326359780461472326975970829463012530894217197630515061249491176915715798566757e-06,-1.944999999963499061445314608617730097515341190268339948059875147312823102145264, 2.509201494749476463803838788913024181745646749417193494193490449816418582959932e-09 
0.5, 1.326360298828628645276652398439561417936643938032719967200499639431977390726939e-06,-1.944999991068583269284686828059731190501725799559178224848765505507361179202764, 3.929822194968637562760147150464635073606732867549263621334035159580860912030357e-07 
0.6, 1.326380140903419545268397833770587992398616046891193013938328638386578325697215e-06,-1.944999650590310865728771652019117472565637612093513596517749552703294061907077, 1.067644498969346308825027892830393869617609639556067030012089353633608560040859e-05 
0.7, 1.326639236064440954356039062147457032782735067283871879782352469556863210259404e-06,-1.944995204957075888170407452521500635716487654679181299109689817108349881204103, 1.076490672957286429308376338080842456345470403217851476896522125296380411201873e-04 
0.8, 1.32835364440402772562156272213342261418632847344470639024013979216278621017081e-06,-1.944965802006479879831357255441000009430861466491399306258841204369889064176243, 5.879820379115117415665233314718738597917228799489974244482236738788740061424887e-04 
0.9, 1.335574057016701450560416806488294560725430255598271530363758842219177040700325e-06,-1.944842221196243436646408949147708747715192726502379852645396815133791326031138, 2.146085688962119404045452169422400463697979456904720775282468215685167498431096e-03 
1.0, 1.357914901398294406164028547439179897162584529291057555250106563162848706591836e-06,-1.944462354202760574824800605338497819537328423074474473096603949160079311509136, 5.945590689775523442775265798048397780078343525272770372783048498283775220822192e-03 
1.1, 1.413924607962157330632453013655991663027046481855930105130501056412614385531076e-06,-1.943525336841708204446803994399627957210401165832812866246527891453684795032999, 1.359315633194594803792797223381602787919900552705412168540791876001218167556812e-02 
1.2, 1.535982298472388841084743050144152288821447057335378099483898737919289736161836e-06,-1.941546937129166399362649951013843387323435931005871284024704194305857106139117, 2.716379308536358454278201527843620956459257242434160394659603725121492967326113e-02 
1.3, 1.778236986955477472197264095786802985468995548397647627818182687128394908782363e-06,-1.9378083024613415486065095646006215520758835149573260759754860355200440295235, 4.927357925626935864004714604156728709107656312587600835034395246155467429727845e-02 
