Modelo de ising,Fecha, 16:06:44 05-02-2018 
 ,Tiempo de ejecución, 886.64 
 Parámetros 
 n, J, B, pasos, frecuencia 
  100, 1, 0, 10000001, 100000 
 
T,M,E,CV 
0.1, 0.5118429629629629,-19619.437037037038, 667689.7887468337 
0.2, 0.5290429629629629,-19668.207407407408, 916523.3689993618 
0.3, 0.5420459259259259,-19611.792592592592, 126115.07758034601 
0.4, 0.8055022222222222,-19827.05185185185, 228105.49245551223 
0.5, 0.6946933333333333,-19752.977777777778, 130932.116543293 
0.6, 0.5073555555555556,-19659.22962962963, 55648.72184147438 
0.7, 0.4667111111111112,-19589.57037037037, 46071.822849463446 
0.8, 0.26366518518518517,-19376.503703703704, 40202.75171454995 
0.9, 0.2357511111111111,-19460.888888888887, 1751.3427832244354 
1.0, 0.6148888888888889,-19564.08888888889, 49157.325432002544 
1.1, 0.567768888888889,-19552.14814814815, 45232.623428401865 
1.2, 0.5040548148148147,-19426.844444444447, 20753.393689915538 
1.3, 0.6721229629629628,-19455.703703703704, 46535.08721519504 
1.4, 0.5534637037037038,-19212.82962962963, 35213.31474483014 
1.5, 0.4006385185185185,-18925.185185185186, 10199.448132885827 
1.6, 0.3207318518518519,-18561.422222222223, 10895.876543200573 
1.7, 0.35073481481481483,-18296.681481481482, 9864.06588158393 
1.8, 0.7182874074074075,-18136.266666666666, 15639.85002287376 
1.9, 0.4050725925925926,-17362.340740740743, 7827.82871840403 
2.0, 0.47935555555555565,-16811.37777777778, 7785.177283927798 
2.1, 0.24197925925925926,-15900.8, 11666.135214583403 
2.2, 0.0855837037037037,-14569.748148148148, 10987.675906083552 
2.3, 0.22872148148148147,-13370.607407407408, 16725.86738443555 
2.4, 0.1381466666666667,-12063.762962962963, 11369.414113699977 
2.5, 0.06321481481481481,-11042.192592592593, 6755.620731959343 
2.6, 0.04563851851851851,-10288.592592592593, 7515.3896478109455 
2.7, 0.04435851851851852,-9646.281481481481, 6354.431035617987 
2.8, 0.03491703703703704,-9073.481481481482, 4419.735169787036 
2.9, 0.031318518518518516,-8595.555555555557, 4514.235551442672 
3.0, 0.025645925925925926,-8210.459259259258, 4257.711543973949 
3.1, 0.023238518518518513,-7812.444444444445, 4554.654744928789 
3.2, 0.022702222222222224,-7430.074074074075, 3750.575274347647 
3.3, 0.022122962962962962,-7145.896296296296, 3168.761383633996 
3.4, 0.020712592592592595,-6875.111111111111, 2159.818873082684 
3.5, 0.020266666666666665,-6607.051851851851, 2473.470982336268 
3.6, 0.01930814814814815,-6346.251851851852, 2158.9137157275813 
3.7, 0.016675555555555555,-6157.066666666667, 2081.1332413489968 
3.8, 0.01870074074074074,-5922.459259259259, 1647.7354703636174 
3.9, 0.018038518518518516,-5765.748148148148, 2038.372141640342 
4.0, 0.017331851851851852,-5574.518518518518, 1671.2109739372972 
4.1, 0.015388148148148146,-5392.444444444444, 1771.0751243013224 
4.2, 0.01707259259259259,-5243.377777777778, 1339.1499678061562 
4.3, 0.014262222222222221,-5095.762962962964, 1324.430188415557 
4.4, 0.013737777777777776,-4983.259259259259, 1102.7142355089604 
4.5, 0.013494814814814815,-4808.622222222222, 1258.343203780092 
4.6, 0.015074074074074073,-4716.237037037037, 1248.989853257268 
4.7, 0.014162962962962964,-4591.051851851853, 1157.2022322941386 
4.8, 0.013844444444444446,-4483.881481481481, 840.513793629038 
4.9, 0.01391851851851852,-4396.385185185185, 764.8455027599462 
5.0, 0.015650370370370374,-4284.8, 885.4736592590809 
