Densidad de estados ,Tiempo de ejecución, 46.16 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6, 1, 0, 1000000, 10000, 12.0 
  E_i, E_f, S, DOS 
  -2.0, -1.8333333333333333, 383.3922882080078, 3.200038276038666927439062824824222651407377724480713270948227731516924724993556e+166 
-1.8333333333333333, -1.6666666666666667, 386.9750061035156, 1.15109133636716926157245880662049176620910587190462334959201768446196897427988e+168 
-1.6666666666666667, -1.5, 390.1216278076172, 2.677134728997448551221105572933820647002513145885122200514181767980131613015449e+169 
-1.5, -1.3333333333333333, 391.3265380859375, 8.932152166543280937912477427171165447675795578572140793235549377642821457723331e+169 
-1.3333333333333333, -1.1666666666666667, 394.6309509277344, 2.432452544028736946014581289874998817312988228797472257651505907549045420381785e+171 
-1.1666666666666667, -1.0, 396.16685485839844, 1.130001390689969392382392896312783975926799368834789412945355719437226276056974e+172 
-1.0, -0.8333333333333334, 398.88941955566406, 1.719783597828816569386035912184039547436596679720673094031258885294647578399904e+173 
-0.8333333333333334, -0.6666666666666666, 400.0262145996094, 5.360158318282316157333123568607968919259592333930711006467857771581266027415983e+173 
-0.6666666666666666, -0.5, 403.03053283691406, 1.081275716422914708271101532135867952465601334458239940320975963236093987065384e+175 
-0.5, -0.3333333333333333, 403.58570861816406, 1.883849602613111038489085103888230326551927644288390526733263170098187328078596e+175 
-0.3333333333333333, -0.16666666666666666, 405.472412109375, 1.242885562126955610092041042882913875204570350760850245208341683634246605450871e+176 
-0.16666666666666666, 0.0, 406.0793762207031, 2.280511714004119390809013460101511224796154720987327296273096416054503784762002e+176 
