Modelo de ising,Fecha, 05-04-2018 14:07:33 
 ,Tiempo de ejecución, 124.7 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  10, 1, 0, 1000000, 10000, 40 
 
T,M,E,CV 
0.1, 9.999999999999999999996160202160879774060439722604737848126133276232010213058488e-01,-1.974999999999999999999040050540219938058446980297502601096522942974310538397598, 4.799747298899643060065873524860621180318451974127657994803213050128723407938227e-19 
0.2, 9.999999999723515743112134634705599371001766604559562694570649572577058608465769e-01,-1.974999999930878935871214839962379647364016471487808970732623195660287043027635, 8.640133004637961891087791790367977823405030160350781022814496377422397183592286e-09 
0.3, 9.999998849752946492079049955158699805546840888971428537092819574239093127345639e-01,-1.974999712439849379874468410872419458703256790057607842664683725476510800039393, 1.597547577787778667104959647317799747939806119128414087592041550066648041282321e-05 
0.4, 9.999925808530172746836033707254333132337776591481617573505799558252278949640966e-01,-1.97498145883957097416266532713944072900684300076484676240286532679458819922396, 5.792051400275195385144981878526403862628453859178998395901383521903463663807015e-04 
0.5, 9.999096104088106058693476463877166215525766240272837196879180725998240492462294e-01,-1.974775017298919144232435236199536200380912530503028459400971503218507630180948, 4.480236271433314298897715999182932469426454181685681819004331751289218991108407e-03 
0.6, 9.995212929328315560535754356677072507094733165111695991444753788616784563590400e-01,-1.973830489429007420499216400362644805343875956161870338563991717245987825660148, 1.587936064166540518071982749139439701820388549382989604248108521412734637026664e-02 
0.7, 9.984245428476516628230456678699904011768772287311099807979984028408476553203212e-01,-1.971341062647459481097330669163599610291513810691261177694802577789480843106554, 3.473106545824514499905915673374766858226876652403096651432660889334472489624022e-02 
0.8, 9.961480616602326551689437431917878836014573599009743388670424062417995298426174e-01,-1.96687763535399829028825372416402459250325890539666303112645715286075619967591, 5.373033312919799321604698114202176909675839941732629780131398809870031047595085e-02 
0.9, 9.922763484085594128073968076936472073660868122156278609971491678270250139502311e-01,-1.96088040353393796340497146228347612999565912898934264340714697947170444884348, 6.446296091897191470200652297408619262347700120725152351302384842193528389528397e-02 
1.0, 9.865231379564266784015342833816248394659388706242902303944786797303857920305857e-01,-1.954304619603332161259937321055646850161676607073218463599760493979614188277233, 6.58636977257844594766691225034402517926240158010068348471079087357013386055302e-02 
1.1, 9.78729251849289103901052557863047163188478045217530969068115880686253880878721e-01,-1.947820565390198534014427977543277752476423679111499677535020543888961319334758, 6.392048353942565882685611856701976886777614942078507750308131777617904052740035e-02 
1.2, 9.687703998211834704736476388892553727978091554347358500942542752381395146054304e-01,-1.941371371784516428754934243799387699836902711008685359055622279205465913568944, 6.64044942845376365987411023432104717343615160324436438385918336427105590706912e-02 
1.3, 9.563762011252803873548140299101509972538565437719021737323352917714288222373434e-01,-1.934169709431443659140656854406110052433713418598050827949599996557037877893836, 7.992055766020243564362157502740217556657095127985903915468700449787748273043162e-02 
1.4, 9.409172287337755420098373301833660120850940184401789794680274511998714893766816e-01,-1.924865397877158419523427439049860847832990311425704504515551142268066398679735, 1.08987034905790233788715006996536289817659972921941300435268400167333198043709e-01 
1.5, 9.213287271425917952011851320857947665896555131690402928619970158175580675069325e-01,-1.911803432953750036022745430724641676612756841695506099943050255174488742450574, 1.549867212714816482169937869569671025214592021544003909588628154435466989902017e-01 
1.6, 8.964302391319497220729673753419605055163546398489564439125654190364907562700575e-01,-1.893374065367034810752085013505347745093941113917674142347350145862081345193629, 2.157693511352593193010871355897985227587074583204107403032549592881919283685008e-01 
1.7, 8.657290986190521200672899715456092997644390540556583512428524561492666626441902e-01,-1.86825407898823158151462585164694885922495233826727855024172580161462505711631, 2.886155105505669017366568634654602948096006631723108515656482664445276626425158e-01 
1.8, 8.302326319225546257322678258694861818134245890467722395984052615971995105164349e-01,-1.835160039479251184703306123126881376914721495595039769201692147958888493696204, 3.765637384498326564986279740418720194884227791958808676946350428483101214417896e-01 
1.9, 7.923644541067654772364050135014279911255561382485123924119248559760423833661019e-01,-1.792006850300260522480510534243171035832716615811240738428690640514211700654339, 4.927945476796818100828567450094569074359491014630262231564993160669591258376267e-01 
2.0, 7.546259988999318039708613548843086089852647658476708110687618867368973588850031e-01,-1.735017636545632953392608499871809090272801537025756503792328225861788455398844, 6.561468423883214021941446129533162750870637791880894658347986430689461109623739e-01 
2.1, 7.180421772646387202196972446777914570554865176680143838590023016076166704219559e-01,-1.65898843073271362859152539818098345593357587060729503538512651883564462439653, 8.715195956451019982411644016152562190868033879059236847538499037677957240886768e-01 
2.2, 6.82251589979015964316894590187722660540352939354237147601456267182873609208867e-01,-1.560320253305559093995109368275846154693868102116463144855104721559684796416321, 1.096514806137997952026605534302677026734757230701964005372742412713785935574964 
2.3, 6.474799328053779831721721235287448453161445915293874407771224094224466925102842e-01,-1.442529949578409693189175195147985404777947269455771824121286585111950952610124, 1.237042878540973549459595462741401970116159487245683136439016038500212285985136 
2.4, 6.155178682780884828725746145103503339831924260158360467623530146095085561107024e-01,-1.31809764621400965824431893274922858792320983486942870970948818406016223355813, 1.225994312499049165951683862437375210238396180620581886606723622831127918141844 
2.5, 5.881278339629450763687989712245109525263672403457104859036981522379352408542352e-01,-1.201395488307426990158143303286553321618515903346588452862727324301110712943044, 1.094678746921671875994637777131823380691514757377794585506866926500668850233858 
2.6, 5.657369778935784584825709768507899821164175243180378973820064370891893718648712e-01,-1.100465993246635858043879465963049855295102693162905442328287587628021171038383, 9.230213694515794168682570385228416991323387143486537155286516649458057375793749e-01 
2.7, 5.478493346913495536064244296185819752055553525499569735159082555945779090739242e-01,-1.016290930326286609094072031393676424224441263607819440740729842577288702919344, 7.650430413962301383805853617968050563676219060136665786677433459268444480568179e-01 
2.8, 5.336833319370036539995695405143186261276060708749556525501794739862097858724885e-01,-9.46415882702273124988092593213879534601226616120806174268065791359929812978371e-01, 6.377348757308972787173540551753884888887917235645059102358358701656990487800672e-01 
2.9, 5.223879446040522128346289723379881256388738566002421368831065587001577742555053e-01,-8.87767170988236152709266713297376087055193935993627800337351188923428018604273e-01, 5.396039375472285227935574467908243824498375340929219553244619917053112399318492e-01 
3.0, 5.131322612517363769678846138249167664735512062213844754430461708206036626273638e-01,-8.377350884495050525974621977552264474128236058787381433783000807689694812124626e-01, 4.642971184123302456423965998682882648484588574672737467069548781552932960968249e-01 
3.1, 5.052073677328142493246015503353550310588891278300771870654737664105581010591303e-01,-7.943506487722792530260089423877874608727178431524975585082131961213973128765688e-01, 4.057548878084454105489577314539523553086801679217134818461957467122318938550176e-01 
3.2, 4.980965457866890772128441451907816949300907498418828490298510482141786028966827e-01,-7.561810047162181115671860577428864451939273754898307863048351894882360144194363e-01, 3.593508138889753436703727543322585248640823144348459626394046928430597302745275e-01 
3.3, 4.914837184961403509695870222907044644281759372546846248532705001137930811332559e-01,-7.221867816826304221866414529316947674616554425073251717824022485810169119827884e-01, 3.217908360362310019443486931618519144814982497549837579948777457409204446541415e-01 
3.4, 4.852159156485407136033896135208308012000940991817416581531772000839392707478781e-01,-6.916053860874708151422099743383980788521670194160053627030533778225473057792849e-01, 2.907772445668904081775605352853897191680657572357233580609510885303482381671005e-01 
3.5, 4.792488393417596005701438714375462370313370174134984641233607994133796835462312e-01,-6.638670448022030201826050133703794139584271493545749941559948151034873405619529e-01, 2.647078276289552708657394761728617427852719715401518155995457365009011149460417e-01 
3.6, 4.735965126425082854504293449479910586241254672263139279656923480732655126721262e-01,-6.385369626493280996313452349517398972333940020304806400556723541167569918491905e-01, 2.424546814088002833277098878270128938963870301929984476061930295920120837092478e-01 
3.7, 4.682941733597449767098389215683561728397373942200682230228217731708083774158174e-01,-6.152760067493432184913837191736352221546778963551386428182125349417858304107102e-01, 2.232117667546718294688845346568955657410171745655555300443547369479903189475948e-01 
3.8, 4.633754372813438588979185109066280012921898241777555329314769376369559682965312e-01,-5.938139899996236091952221193522799869732947967323720593162970955039032413560928e-01, 2.063923731804758100379580638753908708200082268331076265061402464522241025839462e-01 
3.9, 4.588609610582211767982762532886243968407529581875961137571678587163612000235769e-01,-5.739313899686847641782239205146490212445119907071754771812042277779155853494567e-01, 1.915606928863010162995940790537714763293206740153178263749453317031149014537466e-01 
4.0, 4.547549023871623288729961295198589285000682942404204387648818208743737284036838e-01,-5.554466958853586392453147824089718798432667985758663604347349272472953799272446e-01, 1.783861239136937922615058402988931720361704439274971243662545713858521208981919e-01 
4.1, 4.510459210175790318704942268343149707274690675009584484626773632593906385564828e-01,-5.382075236630987586397945512921367235531442077046627204249394689068095843158083e-01, 1.666125642884820786561500592303065491417972838002845644222425898263907748724564e-01 
4.2, 4.477103467729190828264757174756767305864789131459272556361671818148476540945851e-01,-5.220842737357857179081568344881921292222798424031584114164744931524523807215515e-01, 1.560375787242435061448969364960528051548057352920878625525737079627124972479286e-01 
4.3, 4.447159980749716661970981066506281529292755408992486067660369373209622330712847e-01,-5.069655234490597633636946474818780669475863555722661204555231347907789931612848e-01, 1.464980965348664508503421396822159302058750880080501082318971365082214476165908e-01 
4.4, 4.42025799526798204618808455920299054844801362915163145833461914514159682980126e-01,-4.92754617309285763125854794182540186558802435751624069116282934955095889315912e-01, 1.378604673186023685350470089391441178811587049481731306991920002385628946984071e-01 
