Densidad de estados ,Tiempo de ejecución, 1.52301400562e9 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
  E_i, E_f, S, DOS 
  -2.0, -1.9952380952, 15472.1421356201, 2.923834071276426287010749956666065903768216298687803352078764227123356676095245e+6719 
-1.9952380952, -1.9904761905, 15478.9051513672, 2.529840509996160206302444598657706233097253269447873513763196891221731046995759e+6722 
-1.9904761905, -1.9857142857, 15479.515838623, 4.659198869884704493324308750795148901366390657570417700017910354815960821206453e+6722 
-1.9857142857, -1.980952381, 15485.1832885742, 1.34788701099895889897859889363619048655823976081866181043025741109790516602231e+6725 
-1.980952381, -1.9761904762, 15486.6250915527, 5.699287504076334545211039663621960807706271086440904588653926605973556893756894e+6725 
-1.9761904762, -1.9714285714, 15490.9075775146, 4.127438281301232833540117100270845134018067390118931890803718104938766185964541e+6727 
-1.9714285714, -1.9666666667, 15492.7351989746, 2.566885536869549582064852274817867763646922440817154859977438527607435525779789e+6728 
-1.9666666667, -1.9619047619, 15496.4058990479, 1.008257101333304852362759120839508247855982770904504288389080026440648996240042e+6730 
-1.9619047619, -1.9571428571, 15498.4813232422, 8.033717660762172417527588593919609631147429171928270307633415091997220564357522e+6730 
-1.9571428571, -1.9523809524, 15501.7098846436, 2.027976722659709878154021465874507840574523267424045467686553582534284192091579e+6732 
-1.9523809524, -1.9476190476, 15503.9051818848, 1.821664704605576644040511598488265601978088300151285590400266750623413992324387e+6733 
-1.9476190476, -1.9428571429, 15506.8929595947, 3.614463274471706993066022222599306755159128946067030191012650974551008911825839e+6734 
-1.9428571429, -1.9380952381, 15509.2475891113, 3.807557077198148149695242129118782162499653225159769095012119655017853038743568e+6735 
-1.9380952381, -1.9333333333, 15512.0253753662, 6.12383759681418077998066348081208102911699991756174028088885469923684363812872e+6736 
-1.9333333333, -1.9285714286, 15517.181350708, 1.062270948959795311830620788065393925490529780997591686126818554177986178285651e+6739 
-1.9285714286, -1.9238095238, 15519.4297790527, 1.006271859087948282257798572788265644671706154860691144856262940497445221013824e+6740 
-1.9238095238, -1.919047619, 15522.0089111328, 1.326838785381548419363286552473672091638571016324771566869485852432830646113293e+6741 
-1.919047619, -1.9142857143, 15524.3976745605, 1.446255199448508450397102779914051312817598646557848006142667326855925585529961e+6742 
-1.9142857143, -1.9095238095, 15526.8199157715, 1.630087529816264649837309143150820188063931572006633542653319999905102766033703e+6743 
-1.9095238095, -1.9047619048, 15529.2330474854, 1.820625882684766374730096309914878895712814505754176078754694086218142266911315e+6744 
-1.9047619048, -1.9, 15531.5938873291, 1.929836113954074303515025124964985545063405733327100070700077977379070179160563e+6745 
-1.9, -1.8952380952, 15533.9513702393, 2.038741899072283223144321522673511216488587151935795522454643665946273007130091e+6746 
-1.8952380952, -1.8904761905, 15536.2529754639, 2.03674517874366843528520577147516486378233269184913208117758114044360706187218e+6747 
-1.8904761905, -1.8857142857, 15538.5703430176, 2.067076920867677222040171270107013047760599264272688051046656942256592531823104e+6748 
-1.8857142857, -1.880952381, 15540.8262481689, 1.972803351114507252825996051670683557478562717744129860585870349259315430926972e+6749 
-1.880952381, -1.8761904762, 15543.0831298828, 1.884668932768822315125890483364286830462296735778518193791258595738269821411087e+6750 
-1.8761904762, -1.8714285714, 15545.2980804443, 1.726536953795875742845685343115239293639047082331277957896023230807249961443033e+6751 
-1.8714285714, -1.8666666667, 15547.5181427002, 1.589778668600083423917353548251770381745280747817547835146245736088320084625886e+6752 
-1.8666666667, -1.8619047619, 15552.126449585, 1.594773154462402372386903576469238941140992447297519738328142777305875841748362e+6754 
-1.8619047619, -1.8571428571, 15554.2138366699, 1.285995973933848981934063638083201055769785620842164407427157375169431929430217e+6755 
-1.8571428571, -1.8523809524, 15556.4035949707, 1.14878711468920198890102228786073916459527709437223848874941271635161706547561e+6756 
-1.8523809524, -1.8476190476, 15558.6480560303, 1.08391844997165858311102731301544115907977520785937210799454793407237172109245e+6757 
-1.8476190476, -1.8428571429, 15560.8044281006, 9.364769660709766394829341483583403193875008853783933170014103293726582122241145e+6757 
-1.8428571429, -1.8380952381, 15562.9782104492, 8.233012572817692924142127858708127766055057711560370413091769615244865170295994e+6758 
