Modelo de ising,Fecha, 06-04-2018 10:34:41 
 ,Tiempo de ejecución, 1.52301400562e9 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
 
T,M,E,CV 
0.1, 9.999999999999999995308547756999556471367487862516724188188957216473102343110131e-01,-1.997619047600000056066653581451442890994615431090271891286445187845639015424796, -1.142912479211877487346559930225039246341563378499974189776842590833815857420543e-11 
0.2, 9.999999990502318641847075839149723691702512501369432305684206911729884739013195e-01,-1.997619045564783457731944210313721339759539823198183296987650802709028877076977, 2.180559706270615036216999859140932862268085431882568864226570329663834165693393e-07 
0.3, 9.999987985349511980161727760645470032777617211187597589787406798733719129119369e-01,-1.997616474358732110197733770258407303116178766928639668158217562406886598161227, 1.224693633802789719728284738561789211271717653169696861443239144240237997867227e-04 
0.4, 9.99957300086171168019491038894904901634115989080298623741668728577100244824459e-01,-1.997529195295869728262396230177543130115714981142247080345950097227760358710218, 2.361545870424225411152202759787955479305704786833287129742403722665232002763846e-03 
0.5, 9.996379141291138875068176706012035081707890027479855533512945876527537448060665e-01,-1.996947956578641840447437211127702972946260571058373765270206256007370749862194, 9.892452728755606993872205217361436938239542515218289162931639711414329292406579e-03 
0.6, 9.985061306799942790017124542095568353186684846730434115305967860937950456683654e-01,-1.99567876587042598751949219832758786492035940448377382741395112221807433683725, 1.380015073616028361065279726618631956778434389457579869143937206874434901285443e-02 
0.7, 9.958944036598653666513734779557614590248305115236546177605013658737259009163439e-01,-1.994464736728932818955034721817477887816865029036580047562358728432221071216847, 9.960576595839465117053490230542179570652640736343034784068029914941565863767219e-03 
0.8, 9.911561896471364966008314742237320939578152336954946586860504888307155360880643e-01,-1.993653589074731139396429400108177969073979226232127975159483745781238313357453, 6.782491871126577949312646698824247915493175157019388528762490171393821590945553e-03 
0.9, 9.835586395158605710841197886910066102079495414480535709624837514261446571545146e-01,-1.992990991121336019608848548752045009396334417691880387865838387738897280296968, 7.061852913197089938509463585931933243852427157526001093681246291389040607131869e-03 
1.0, 9.718125828046035740767413599311153398931703726576272226745419638306808756362409e-01,-1.992122183550209941826220040459048945179932193151828053376100825680901196903092, 1.093224002900983906935078128596195745547864276624544297038488084973431865017986e-02 
1.1, 9.533958336312482756943564071673980542153669917291062961179510709474139846690585e-01,-1.990668828189437475520360585267529616893080575911073781427993086437331222249754, 1.890532055410521658226641212985809102089245726241790837650828461473454976319984e-02 
1.2, 9.240553299987307625526546264277100919966372952325534333742971700435087796844646e-01,-1.988149874139122759656368238859775460754351727536783733600373247833317373050557, 3.278246989088909069446624249743119477336149095393886404739446408179522019710836e-02 
1.3, 8.774759362296584383372195128942457115981439185754969706622003850099055273915764e-01,-1.983594984241109470637450673030917421108117945823031849593920924070178488482377, 6.384085437240125164895172888854361111493890278242264324823856357319586398012089e-02 
1.4, 8.013878238664942746583940130354546391611902327140137431462989728481898844402344e-01,-1.972800349415294672018092062680686714444543303306357029514416396520334589291112, 1.728352863542125918947318515162186632843357876404724353294831350434536893831641e-01 
1.5, 6.889287010200517601573975784439818991288476566001210698372769360234930587401845e-01,-1.94827943925454221770952474847219593947210826953234746987921437165115662369961, 2.804036904799911312206784456195061163243586214769048234036895711031939673668601e-01 
1.6, 6.033175838420277202356062937550033816561914535491717444067835355227328302021719e-01,-1.923860218208407161794324076316799557079180859820361134156295735424444610982175, 2.164311748002597389171908278071122002526234513846281874588063459443102762459389e-01 
1.7, 5.789543456110581547897887845899352321767554115704805832758729038639271513012245e-01,-1.89811548094421222448160837909884595949690338495551844550911406755500522635601, 3.267545840033488633196556794740375658979220767284392418347611355408037304413298e-01 
1.8, 5.811380852637051968871825097150457725156564249420025650960864886968453274563931e-01,-1.859018941753163356657271770463125201168926432696503197171453113747643580027846, 4.39090101028239400231701742005035895247325375439953232498030600945994293774831e-01 
1.9, 5.412791826687042087241575708709388579572886430663892123998297582198922727525488e-01,-1.809910709623296403879004519616805371334640498670946917718565607177367896560526, 5.538137472582759525197789214368184892212695296485774079499723791026788519504772e-01 
2.0, 4.89934713951669562448773540393053487188770173051226789090634457718208649857546e-01,-1.746594037754051948648083044047711844416414082033246010915389061281605016251239, 7.213479842733851522744588475968890165236952820834266671688158863090831878650033e-01 
2.1, 4.99544623850602984280338333290126219004637898506574397251150470649862692170622e-01,-1.663158601559315532744153903805801567752234196052476934300031165187320537942902, 9.741760221093001669719406985106716102323998026204583223541710793792244838154355e-01 
2.2, 5.113564078530583748457243775839515800355587270332617516588023644628283645469112e-01,-1.541813233410649469713851558988610411727512358128144882774774895537778684819392, 1.501586447421436142189580362253663817865489470966677762983535068444767291486043 
2.3, 4.641012392491143754675366379582050878971993396189054281470813596176765871626128e-01,-1.367427174680642696700213912784646715270047521570546553653252436841195532448069, 1.846450211691005393656265666359836979429451802756741567364951288075722383037461 
2.4, 4.51884327586240709712193686137695993799859234764597349242764378976374633681023e-01,-1.208473286014543175778829891772457158469905322142370584753038666966401757044727, 1.26032611806073846500195925722556641865954993592735431243550421243850164324851 
2.5, 4.459291374646544806873629332442150325074730490512943610139788778150326335126057e-01,-1.106467717877292945732637242583432327487745500401981934054550435963955293548551, 8.528350796438721619860792154891267595882223240216197029909225307708848511102289e-01 
2.6, 4.240924884948933942881093439079534685156908385739393553499763735287313363101244e-01,-1.029325649874808149343352958633941056125884193933315506370653767629020539808124, 7.044084394019216446369774443684270241318109096318229178383759698635960261498579e-01 
2.7, 3.964622890068487153796450064481377902977496453333803474521351266741233051958659e-01,-9.646880707575978219684847995707234502758115747335064131669584060675092873858246e-01, 5.920782390312941160523364663980337107214727083715801492609324511841498902652356e-01 
2.8, 3.853889204311208706187370635311826020211489773795875344370608550992560504727201e-01,-9.098299490368961489292435358401301411843030712264717068897522635554617957871206e-01, 5.105798088041135707975187358441931526513289357296797258202046490457375389270182e-01 
2.9, 3.906661092009154771207451737842318613618951410354684202160719019052669795205573e-01,-8.616959035352702130004262619354738728177147824258144864901373339994543221599821e-01, 4.553536960000066257282566381907000339244369239275974342464928128237800008834068e-01 
3.0, 3.970006489579071635719781585882481242387651447901153170330762191761203111959866e-01,-8.183171624573154587537401947795255102613967861766780674958953103806914915236216e-01, 4.134081869731118985302794319876429791810504109587931787406996271815367453032478e-01 
3.1, 3.970086250186079841118951896387917173779643193330864671957395188898406413736434e-01,-7.789367814116418097480936119839430203748692874142877987682278188405977611102151e-01, 3.741064400588457673201628000276497380721693984949001053117337523758187589830426e-01 
3.2, 3.928234327482663387623451589546587858661705675852885433961105641435846835432742e-01,-7.435070651110556784581936093108442770803499889698270771237195594615287630008116e-01, 3.347013705284723420592990765511393653809866572677433215370017545360173740126149e-01 
3.3, 3.882177072097879928515846107571243579571241516303404451772525272609088692797597e-01,-7.118835886075341244438044840729827191859939291064442161028827879185284825781546e-01, 2.98605590191254919982058517255700519126411281637177752373448644276362187999481e-01 
3.4, 3.840258222131528898769364394598082409710678708200720690452254577917449327737928e-01,-6.835971727923906400525126067957420953796608684364537357231043483520906100344022e-01, 2.680843239620812828867159492128592954694451556764157914427665900423256595975463e-01 
3.5, 3.79028174588087642549762354690318635249581571908854352608456783268903873867667e-01,-6.580843921643975525563520741166199487402164563711289790559217506547558634382825e-01, 2.430210793836967258055266755515882833494767681022915067225025641006469128545942e-01 
3.6, 3.722241559558738247593054062172434423243957987935532068915784475905994670119038e-01,-6.348352180554122947905441082898645300293741506269545727425250881710369817654662e-01, 2.226921750574448759608477062743842177344436277781444888620654665087071204637902e-01 
3.7, 3.637150161761145451456481926799930248959480269064070051140132008537222727945584e-01,-6.134122501689711865695236089235074980386291321705731345637908937663094841904482e-01, 2.063694711488607480893371515299057410494027372871977687689005771002814858336953e-01 
3.8, 3.544297809789566843989660923628309426041559788268277380571068810118500057538606e-01,-5.934560085090381812404517352373519051994267117714906238628543433625572901097578e-01, 1.932004656249701197454906190046206706226393311662258790882776048048440724405833e-01 
3.9, 3.455962599688261506917108307146259611964155212595587402014985791678765792014161e-01,-5.747003580630096734250743708350043069405349141931172992024049393420424590183369e-01, 1.821861514984225687489181249099457942791225169993458237016916957991941765599154e-01 
4.0, 3.383133747183576554368896239382955232622560797590171692692686020732360433131551e-01,-5.569795951023466185092997352988748553325317485606663762460332937442925232851079e-01, 1.723565150379521963754820194135109642440893138392765913748939834182090443281144e-01 
4.1, 3.332639385967691701198438815546299629163697502569237687882242596216297690371012e-01,-5.402137114003319934950112067976940265846326789865582975956191949875248641652838e-01, 1.630003609639487305863892356520623982570542310497728488786226593595754803144125e-01 
4.2, 3.305975944854174951380511954468853427764691697923184523570610082122857870200451e-01,-5.243753936237489992859889519057465164935631926984507389551778258750595933242652e-01, 1.537791158863257398435621785687474467503415792758998694861047437720275885921419e-01 
4.3, 3.300009266792600989794911819377569500581596239683575520363969991582651962451028e-01,-5.094541986181698285112951154211553642786463781474055220023896876906321481798463e-01, 1.446744508858505836845238829944540131496054829624299499632537191887790681876548e-01 
4.4, 3.308939897853378177292768690325678864595041174867319041198099316178138601298296e-01,-4.954313199574380568726812582457255341963743176291276773481474663241325127614921e-01, 1.358464200076684885605188883188704799652029549055781317377317752020512958792856e-01 
4.5, 3.326446247681556542679821425625233521658928493567708464677043769705865078762547e-01,-4.82268946576220914886688684281483921974235690942790831047302548975573283745226e-01, 1.274956128763119495244815919398643502719858533147273637890516847966263398976879e-01 
4.6, 3.347173841526951525668322008720885126932865943079796926257516674624649957559778e-01,-4.699111005137911381130231670384338049534093091923007746634543562640923721538525e-01, 1.19774811241210139734625478710546752384860252709569233153370882243740672413301e-01 
