Modelo de ising,Fecha, 09-05-2018 22:09:20 
 ,Tiempo de ejecución, 911.2 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  6.0, 1.0, 0.0, 158251.0, 0.0, 18.0 
 
T,M,E,CV 
0.1, 9.999999999999999999999999999999997395527231232775117909564240301744988813239004e-01,-1.888888888888888888888888888888888270914955146554004175679374720971474844461816, 4.943791469938678117181230310853951857061537656367109701946651235189897119481965e-31 
0.2, 9.99999999999999938694548235393989188302554369995567727946107066982672133069429e-01,-1.888888888888888743426929596618266630799508898948664370810203266394652591355174, 2.909239185845410847933314336735518213997794233016472121216959582383615273146179e-14 
0.3, 9.999999999621477073540667743995458396994190179606660694350268534216130441725901e-01,-1.888888888799075201957150574476565939027709723716209871845012841111253106979033, 7.983438836628176091406684967981822561476188193567223177237133592232128493852166e-09 
0.4, 9.999999702567336901001141105231237775963138513910456780846641085479737385154003e-01,-1.888888818315821129981963632612898740181878118958571505928140428968588376604357, 3.528652780654464625009584290611861333796494338372373011350248228458940415379414e-06 
0.5, 9.999983760878277211733622942603601455064517463661809780622174699711866920211585e-01,-1.888885035765489663389716352397481640256112721421364251254088267558392719396577, 1.232987902075861680353757764756265152169429166133621668525993889008666871888806e-04 
0.6, 9.999766317649835242956382570984764952787740323426753812228274396646541891351919e-01,-1.888833442037024540510735876410021362870357979040613023681167201301694024289182, 1.231985675781855998543263146987338829565222703941670668584411496797140227302406e-03 
0.7, 9.998431392417011023046226774376717001162450287051452311688518812243765176099175e-01,-1.888516695222616692554544678493682813604467664760133569531199366088915619958555, 6.071119823875048221393657988423028821301120288382760313263101834767542854014762e-03 
0.8, 9.99347358351912080538747329112577709786210974921061717586888622953174784728193e-01,-1.88734027502577669877420674831286747288284429274164761714183667225531527328488, 1.928478875488664152218258456743764002036773651002022470885025347627580413930457e-02 
0.9, 9.980326631347606746997143800645221209583944165859644115763835627130880091141896e-01,-1.884220324409685290362861085214830605567620477963844921064592426720394051502714, 4.558911407475776708971131681913410963363364307989713329829770851878485316300782e-02 
1.0, 9.952910273525740060534465096773080805876069756310759480540327527946797260101176e-01,-1.877712378239573670275524704012543204505946268906202450915608915780035973270426, 8.702885636241755214463382439625881433285201721647686864491335342650324562298865e-02 
1.1, 9.905249183881079602170102228334456799469927741602676025574640304750466017294529e-01,-1.866393524687601607785411272463121997805714244774011377299676181550037697218931, 1.409390451476730298768260479594236014926218673580415894500208959575405334868609e-01 
1.2, 9.833507246271472147957572450553740277241733826742539157279306702101305586358187e-01,-1.84934347095746278837946560055821493598526621598567381575590639054412522209667, 2.002341295884725619857193541681817432689128998522926385535262696938716428796635e-01 
1.3, 9.737266622883089977010227110080707762152519700623809215498947354682989806575215e-01,-1.826449980858622876544531053235530993809868460665425877031939763858153214844658, 2.565341195167884951488030417107975795443841055476478712432256213636127428151543e-01 
1.4, 9.619150056625412925694009203272948271729030511246246675105918967915118322745027e-01,-1.798327739227133366126459664797770861013236121193808858847376653461555379519339, 3.042813284483119760077707640235092324223473982809562306400919807731667823261853e-01 
1.5, 9.483005594690289678960230924366669755752930204280569919590869459230744388700502e-01,-1.76590273523172940190361006610150794322349540600440070376357303830076670722353, 3.429021393482822995339128233276052111703526903824609549394951045232406642202537e-01 
1.6, 9.331810945814725757219068756846339833776368101669208811124434298848280205839948e-01,-1.729934598520467832921467875229523674871494725433947588995287774689470036860106, 3.759596962605420534739224708238203198897879133852074059472906740254772173499432e-01 
1.7, 9.166327473443161197901315096768606393155419067655102524159924253936415800595756e-01,-1.690719613191210599078302756363607188557411312805805573800751760026525370042043, 4.087325167882563194085344746934480451902173619726114608754098256434214981380135e-01 
1.8, 8.984769554459746711532517194829603645342272367464120368810521820880894319057278e-01,-1.648035806486473817312101947050902003952296790847671955944679984553471913676434, 4.460100495171916595515085705851302258590007017723225275558853637614859252809483e-01 
1.9, 8.783246351014668013316756321408694382974072664149957563884925209204004124685868e-01,-1.601266433093033520993126816152212646272375433486774430193136443187463250551335, 4.907353692075577394861251384339469298683826684080679299187492566791310869308513e-01 
2.0, 8.556710469463188407641642302788666881159411185584591346115174402450755902019999e-01,-1.549625132889854819769249067974794365887817777170311041937036112837382157453273, 5.432689131687300783658621552415515268824688592239365015765343791380687867566945e-01 
2.1, 8.30028890540881327288862805181991616289631838492828777393820852803115239383453e-01,-1.492435055284977753265757199531488314594215869709835981613965365043594058881311, 6.010340793050896522632293974466943050665588416786805563284502971297624609409381e-01 
2.2, 8.010867445864174557416993410894765907096088011509446559600142382910190791962547e-01,-1.429420478659917857691620255786093810624898902513483955864267060474104893949469, 6.586701447835560979168988076120573537393870939311369176967827299934374028018392e-01 
2.3, 7.688599755285605614658030730170470424614209059724503274219832393500936557631518e-01,-1.360944440574857442470053514343479203247689392260209513757034257892300865212757, 7.090024438473983056744966941481984580937343135271353514719973277779031876350275e-01 
2.4, 7.337804373269057577852905823331733248449946988340769036601904139141202705797426e-01,-1.28810500246579882343610956774313720353628044249203399886262296224891871442309, 7.448566983898017905896380083620814648326853438858723116088237810377541324113366e-01 
2.5, 6.966771008281944130182672496728607376471014505283438723816945652596375134427542e-01,-1.21262948775750321005243383081019030690702893831088028362332650085494890861061, 7.611413450000504720728576551632324851585086745557515357233127093908182258845573e-01 
2.6, 6.586420710935992400964817005321880798833664783454165157780684238437138155800029e-01,-1.136586700667497959836563248788613082180818940532174144040406040178584735163114, 7.562511699640626108977246363605166175553841183523111832501246940538501203880031e-01 
2.7, 6.208308452114620416006232172020987817805340879816804244701716626019091056539449e-01,-1.062022283840154248506476902489359150239637500499750257860187528782675743579599, 7.321546724793783553432207744520654878972544476716392428339113163847714695829346e-01 
2.8, 5.842722042890754148267466333672259131184693451798509303000126368936917271329416e-01,-9.906485756338088124977633690054199693463922909550236310256292705887670572593981e-01, 6.933036064688067787910647723794051254160371409632301296847051400988198756340501e-01 
2.9, 5.497455498776185506996870991307473137442572400910783857483261132088565929621404e-01,-9.236734954388263359178014389589219783432071348297909277554064427381329337584336e-01, 6.450795815826383798594212331990660336793766761586682236561466435891607889221699e-01 
3.0, 5.177417960617189802504593145624595526678794400389573775513531545219640122531619e-01,-8.617768289425942188598941996022179613901303971555482191423562497311092623041608e-01, 5.924918302095439415285579555246158134672930260249409443955972399016008464864622e-01 
3.1, 4.884892039861647866985371197553168334247612560135620487964126271633579682864738e-01,-8.05188553293685600151812444153597479206836666113251915978968689070395847266609e-01, 5.394577234811505959478165121243550360837393233122415130770819236857603411762871e-01 
3.2, 4.620126892697072777947196654424005438781151569858019895672900475232366998006911e-01,-7.538106671706728041336059834727048991855874480278891398208470493138434157076612e-01, 4.886244417501808852614148570606792502288664494452012668393127596132339817362438e-01 
3.3, 4.381998402643577167550564162827946496805117014516659135768144959872681902278162e-01,-7.073383705355492142030410997414449209094946668548681271706434687909604079011773e-01, 4.415221796108070125569682578667512856588112231901591798354142630461606322084149e-01 
3.4, 4.168581080589569882412524523260288891452797415815273145361412411598264112763809e-01,-6.6535810821710056436119029192123847360784580624273454988590511763073885994854e-01, 3.988453713171929348115483380449899494350084269309651771943704024450935447232359e-01 
3.5, 3.977575280435284023109386847952284233876505657242672402910886829106611017194963e-01,-6.274167618298404811158213778475989073971844506263249228810311615081805785533319e-01, 3.607339020575116504156549743373665323991026290265908334313742528435515443651889e-01 
3.6, 3.806592900141487417775659227121030876224793093825393825376815333000375515126703e-01,-5.930652748790517043959715886982834079968780064107200761885386082065303556702303e-01, 3.269985790479647845699206120766314175886208893603977327712581470543656114238384e-01 
3.7, 3.653329874649282762704110442601751756467463896634148201513107253976888446437311e-01,-5.618830806146638386808382154720583535872325792059964709690013668267362132805402e-01, 2.97280116229535419249150873397466117225594895954549244352875369513775948648942e-01 
3.8, 3.515658216047079736836260688004967347380160666801170156143520308527311945732433e-01,-5.334895941395971426367478304663325310818050751272182751272309031327879647271886e-01, 2.711512306367902813356178975964025323699661321993777158906335007952099273473564e-01 
