Modelo de ising,Fecha, 13-02-2018 13:46:57 
 ,Tiempo de ejecución, 33.89 
 Parámetros 
 n, J, B, pasos, frecuencia 
  5, 1, 0, 100, 10 
 
T,M,E,CV 
0.1, 0.584,-36.8, 10736.000000000011 
0.2, 0.716,-38.4, 2116.0000000000023 
0.3, 0.976,-47.6, 149.33333333332888 
0.4, 0.56,-32.2, 424.74999999999875 
0.5, 0.568,-35.0, 293.60000000000036 
0.6, 0.524,-29.6, 177.33333333333312 
0.7, 0.6079999999999999,-33.4, 304.5714285714286 
0.8, 0.844,-41.2, 128.99999999999955 
0.9, 0.5599999999999999,-30.2, 66.12345679012353 
1.0, 0.9,-41.8, 42.36000000000013 
1.1, 0.696,-37.4, 148.46280991735543 
1.2, 0.704,-37.2, 98.44444444444429 
1.3, 0.532,-31.6, 63.81065088757398 
1.4, 0.796,-38.4, 48.081632653061234 
1.5, 0.496,-29.6, 34.06222222222217 
1.6, 0.6519999999999999,-31.2, 46.312500000000014 
1.7, 0.27599999999999997,-19.6, 6.311418685121072 
1.8, 0.508,-27.6, 47.11111111111107 
1.9, 0.6439999999999999,-30.6, 52.86426592797782 
2.0, 0.58,-26.2, 17.79000000000002 
2.1, 0.728,-33.4, 12.435374149659896 
2.2, 0.42799999999999994,-24.4, 36.165289256198356 
2.3, 0.3,-16.4, 10.706994328922505 
2.4, 0.5,-24.8, 6.972222222222217 
2.5, 0.244,-16.2, 3.9615999999999985 
2.6, 0.552,-25.4, 11.899408284023675 
2.7, 0.312,-16.8, 6.825788751714676 
2.8, 0.576,-22.8, 8.693877551020405 
2.9, 0.4960000000000001,-21.2, 6.392390011890606 
3.0, 0.29200000000000004,-15.4, 5.026666666666661 
3.1, 0.496,-22.6, 12.199791883454727 
3.2, 0.2,-11.4, 6.449218749999998 
3.3, 0.296,-14.4, 4.539944903581268 
3.4, 0.284,-12.0, 3.8062283737024227 
3.5, 0.42400000000000004,-18.0, 9.40408163265306 
3.6, 0.27599999999999997,-15.6, 2.8888888888888906 
3.7, 0.256,-13.6, 5.8319941563184825 
3.8, 0.172,-10.4, 2.426592797783932 
3.9, 0.404,-14.0, 10.203813280736357 
4.0, 0.396,-18.4, 9.590000000000003 
4.1, 0.352,-12.8, 1.2468768590124915 
4.2, 0.28400000000000003,-9.4, 1.7482993197278904 
4.3, 0.2,-8.4, 2.457544618712818 
4.4, 0.27199999999999996,-11.0, 2.6342975206611565 
4.5, 0.192,-5.6, 2.362469135802469 
4.6, 0.332,-13.8, 2.0018903591682418 
4.7, 0.272,-12.0, 1.9194205522861023 
4.8, 0.324,-14.4, 6.381944444444443 
4.9, 0.3,-8.8, 2.8721366097459384 
5.0, 0.344,-15.6, 1.7536 
