Densidad de estados ,Tiempo de ejecución, 2100.49 
 Parámetros 
 n, J, B, pasos, frecuencia, bins, penalización 
  6, 1, 0, 442437, 0, 12, 1 
  E_i, E_f, S, DOS 
  -2.0, -1.625, 0.6931471805599453, 2.000000000000000000000000000000000000000000000000000000000000000000000000000000 
-1.625, -1.25, 5.924485681536508, 3.740859900000000000000000000000000000000000000000000000000000000000000000000005e+02 
-1.25, -0.875, 11.704301355364633, 1.210914537700000000000000000000000000000000000000000000000000000000000000000001e+05 
-0.875, -0.5, 15.46643209266932, 5.211780451429999999999999999999999999999999999999999999999999999999999999999972e+06 
-0.5, -0.125, 17.77160787391932, 5.225300054816000000000000000000000000000000000000000000000000000000000000000028e+07 
-0.125, 0.25, 18.925508020403694, 1.656699344757000000000000000000000000000000000000000000000000000000000000000004e+08 
0.25, 0.625, 18.79046773720057, 1.447426270256499999999999999999999999999999999999999999999999999999999999999994e+08 
0.625, 1.0, 17.751496789934944, 5.121263259433999999999999999999999999999999999999999999999999999999999999999977e+07 
1.0, 1.375, 15.715043542864633, 6.682772757609999999999999999999999999999999999999999999999999999999999999999979e+06 
1.375, 1.75, 12.506501672747445, 2.700876116000000000000000000000000000000000000000000000000000000000000000000006e+05 
1.75, 2.125, 8.863084314349008, 7.066243690000000000000000000000000000000000000000000000000000000000000000000021e+03 
2.125, 2.5, 4.48858785438807, 8.899568000000000000000000000000000000000000000000000000000000000000000000000038e+01 
