Modelo de ising,Fecha, 24-03-2018 22:36:52 
 ,Tiempo de ejecución, 21789.08 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420.0 
 
T,M,E,CV 
0.1, 9.988888888888888888888888888888888888116390468154415322975340042935632306891549e-01,-1.995238095238095310277357283565733167639529221059989170354467364004341697416493, 2.476052922785889817708514055612517010644643858899832692103471980108397259623634e-11 
0.2, 9.988888888888888885722835360170008943038132798373344507452204894713205037524173e-01,-1.995238095238095309372770561074614308438120789555952357729748979393583193669866, 6.190326146976686597276531020459979436673499207899522987720144130359004851317606e-12 
0.3, 9.988888888883822189505296124232981332615528581083862645175439313407120453425149e-01,-1.995238095236647681881995097459207254206301651940063347146047607151539460715132, 1.406205409084342542049501955678439987073833530837924319933048677359196104983084e-10 
0.4, 9.98888888247932337382822285906467014086576417529631700647869303568574398044222e-01,-1.995238093406790797464982063303051991840289052166799626249021204350958217995334, 9.810715326346520140817572254326363325352991067207854527385352425277753217393979e-08 
0.5, 9.988888423204730487835927520538662576393766191491752009246408630973224378659873e-01,-1.995237962185056657703996646153839366859931070686979251359001370901382334610287, 4.561842532586955881041812433948005415602701484790491702225915520675313300813494e-06 
0.6, 9.988880780281146745664634103094155972867047071121443089583204376639229181790633e-01,-1.995235778365093254145604317874496918786075900671505228929105689632254531273691, 5.516850266715107498291270457333272411189760082725183394765312565700101739479201e-05 
0.7, 9.988826464067347271729953938184890508706390521226275604031172847078050534142118e-01,-1.99522025199313284220687792107772393256619736364217699864896885037768235253932, 3.123386010995279258946255207512304936419495886775754608737790405896115385178177e-04 
0.8, 9.988600156369411992767341556929297673589281619195408396697848689721407361223978e-01,-1.995155438099505768191320654846236150350131511955749436229176091360547722013152, 1.110504713749917655128036767590705398858175245686050003481217138003095231064564e-03 
0.9, 9.987936709266327709759937513157747510175965689571806239750222767315099136822762e-01,-1.994964282850337660340630345028920157403419519613515529496051086003705996183868, 2.92795166525126269835784088971817454533340569086667866973266996282237214884298e-03 
1.0, 9.986404201222538402475670632957039491254648831983720120261243304178961337841886e-01,-1.994516233575843328696418738339801051127775952531795605829312239317655707841812, 6.361498964796066972630872489514729768438287632157499229841803441384122383304003e-03 
1.1, 9.983392583490635515431379665930249617146028918975416380718541002345442252743813e-01,-1.993609724160229110395253409586161309394823731636549682413787230199793920325549, 1.229079236321550135762535166441949001399074009466342510803405920740434683935083e-02 
1.2, 9.978026642400877872702070084339486924504852748121249048653328265459377664056828e-01,-1.991911269451102407001116891248278186637992502728852175490363445231111713265038, 2.280266824977508227099166499222826735305400521356418608359135260321997608466153e-02 
1.3, 9.968232346252012326702820155241221265840847023777207342439432397489336347877068e-01,-1.988536263851158028004763344518079633449052210035600085472257716523860300972882, 5.083106928535121287769187402989090949267287197123583397030529670776555222814763e-02 
1.4, 9.941672504435216581299739177504121017139258367908740999279003152068440489787678e-01,-1.978219255950396755829008242652228769802941479014125772573454740999967254225737, 1.894510312653654639473104275570129729603014875198147001404268924402352854563494e-01 
1.5, 9.870368826777273044837686351469782379248795902705701397650876168043166284878392e-01,-1.948791177891901047858423624554096259132788888191884294057388586940046455505331, 3.321705824412317002967031743574492982413038613415516828290863380121667832327325e-01 
1.6, 9.809376931802650058390589408337285546467334545904958268618963308901872151679164e-01,-1.923252717185097416548562366223423710973853001422711797708315072168269906332473, 2.003875790799911546656535598718909033078558072574017518806926779949267640026479e-01 
1.7, 9.748678287936818753355620375118784321122098285192872998040611424365661165640168e-01,-1.898808183287211779865104968097897183443168296156756407618015988226136731196067, 3.275565027690915572406785077495885386038875079916000666084808747777668464673744e-01 
1.8, 9.642098885453209948514820515511575053833042752233201682756244904135927104826115e-01,-1.856979151083126344373962232566703270803713954326634168473387541434669538258929, 4.881680883526666871244375400332901494532091795855892490398643748053784868403473e-01 
1.9, 9.511870000759932123329171628860375292534373524405845963759251397756165516788845e-01,-1.80479452352997193590719251486820640238246772474462358295264773045639407427826, 5.441717189716784740521536470484051273771595364876214992877987481794893453996028e-01 
2.0, 9.361299648118536672906914262305077802297693763641621858716405077750874239537365e-01,-1.744337400507845781883961112657685725639085306279707737348049988060817306068692, 7.156280193036436133373225711781640193679844714624073812870217967945677778687862e-01 
2.1, 9.143159731366077550548368665225142006187351534890821981629484325497999574437449e-01,-1.657282040528054862222397828998829941242066021601138316687626868940142770718894, 9.828905002259712961830010610427739573248863307300837568178421279626733493105558e-01 
2.2, 8.887053979888286465347559171455137211529699367328115967162873560253600082806174e-01,-1.554935857281456288349224946931202593991484922659867197960912212228189058987712, 1.118972325701925911639333643565127270084260988928018800005021074730342656575183 
2.3, 8.483216801142977336739191850402331952341789859626021769302812845832860606820338e-01,-1.393362028064316927334794791115945995740834347161329890393764095402000396726674, 2.238526536975905070052687114337992940567983850231981437320362223773725233004737 
2.4, 8.019381660162313908091139936390987672551881654235385141521546816285273743205455e-01,-1.207737698118819751462697473715345194663972912060792410417342591343704057669912, 1.274240792027741100429453458429663779129831935815867357544865020223828296863356 
2.5, 7.758951914028068404533370152663568705900955157934931011187496139783734885397183e-01,-1.103644950253223586154260745130462145045282284668168379667044421052065493505754, 8.821262419603252139592734476140573624889113622043114284896266014398250930947174e-01 
2.6, 7.568831829616543316319052690831122627741939304903197897436455394131661407284058e-01,-1.027616905391059781481563135328411617175567102778147781474253958921514559557459, 6.62756788404784468326756565795132217887364372655089467735353075635975297509576e-01 
2.7, 7.414734373475697486927652077915623193657160693443488458600074464732506244543362e-01,-9.659089638319391104341854405704058478464674697410473292712007390796162147176964e-01, 5.86208615269464567779459069019090747241847542228367474378982444519033080134411e-01 
